"","BICC","BICH","BICI","BICLog","BICT","WBICC","WBICH","WBICI","WBICLog","CBICT"
"1",5483.82211839327,5496.23648940444,5496.46735596094,5467.71292683636,5486.97597333659,0,0,0,1,0
"2",5062.53529417083,5075.41907341362,5071.14138394977,5046.04790671128,5063.25490720257,0,0,0,1,0
"3",5145.44297837423,5152.70281112606,5158.09526816922,5117.33920672509,5128.44915237163,0,0,0,1,0
"4",5039.91703283807,5053.73201102666,5051.34810141355,5025.26027291885,5047.29672311537,0,0,0,1,0
"5",5455.76099685163,5468.43829334301,5469.40905693117,5462.79013680657,5467.16031075409,1,0,0,0,0
"6",4868.2784796003,4879.18261433087,4870.98516064781,4869.43539960254,4876.33616511413,1,0,0,0,0
"7",5246.14446856561,5247.03202440369,5259.91146556224,5219.90872123073,5223.73203792478,0,0,0,1,0
"8",5398.41661102104,5405.18679963037,5411.26739146065,5366.01195262119,5375.0303897703,0,0,0,1,0
"9",5178.8643264457,5190.69609721226,5192.63988994117,5157.21563562302,5180.17437427689,0,0,0,1,0
"10",4885.61819749186,4896.23937702281,4894.43279058582,4887.06770290761,4892.59901413977,1,0,0,0,0
"11",5307.69130834691,5321.16741861798,5319.98610821238,5304.95235601868,5317.22304242432,0,0,0,1,0
"12",5223.59967611541,5230.18698088487,5234.58731087381,5209.39784049537,5216.75912922748,0,0,0,1,0
"13",4922.43631672724,4932.40546643759,4934.0066253559,4927.47931500081,4930.38585521004,1,0,0,0,0
"14",4734.2366000412,4738.54733941546,4747.82256987249,4706.41659591213,4709.84771995234,0,0,0,1,0
"15",4979.0672641734,4992.50498981883,4991.21895793094,4981.35541675383,4990.96965880812,1,0,0,0,0
"16",5312.55850787257,5325.01702976456,5325.72473941533,5274.91570988589,5309.62204561791,0,0,0,1,0
"17",4827.34153423042,4838.56738726097,4840.76094301097,4835.22940257469,4839.99027026452,1,0,0,0,0
"18",5126.16246202272,5139.51057329061,5139.0001695037,5128.52702771228,5138.72164834764,1,0,0,0,0
"19",5199.99052580365,5209.3251283187,5212.67309754675,5205.622067466,5212.25528735082,1,0,0,0,0
"20",4954.27391027518,4967.03546865082,4968.01029120058,4943.87320979526,4960.87105789303,0,0,0,1,0
"21",5207.65942763074,5221.34415119538,5216.06869888271,5207.45784439761,5217.81658268936,0,0,0,1,0
"22",4909.54813491828,4923.24664307833,4919.93739680478,4911.80572184997,4919.7117740874,1,0,0,0,0
"23",5416.60284901944,5429.5978739825,5427.55457532599,5409.52040207443,5424.19583024675,0,0,0,1,0
"24",4983.80304566177,4993.0849759792,4997.45324098795,4964.57506440831,4983.07981856382,0,0,0,1,0
"25",5061.18207952214,5074.58686145462,5073.93174187649,5057.75527180032,5073.75320441854,0,0,0,1,0
"26",5220.14848265167,5233.73468983147,5232.9468135962,5223.27802933849,5231.22194136179,1,0,0,0,0
"27",4854.30973021682,4855.07801636994,4867.29531881967,4838.69192923712,4840.53648648514,0,0,0,1,0
"28",5196.96409816102,5202.50952330858,5210.6961064908,5184.59626005388,5189.00266219399,0,0,0,1,0
"29",5034.79605331701,5045.90623281281,5047.22405290797,5013.75694010168,5035.58254299539,0,0,0,1,0
"30",5155.95518301136,5169.18658663662,5168.27823893182,5140.03135595046,5162.43017505551,0,0,0,1,0
