"","cvC","cvH","cvI","cvLog","cvT","WcvC","WcvH","WcvI","WcvLog","CcvT"
"1",2.38708768938484,2.30903265687878,2.38614688730935,2.22235249052512,2.20511112727557,0,0,0,0,1
"2",2.87775015466619,3.97146678495251,2.88001554832244,4.42512810074238,7.92730903435705,1,0,0,0,0
"3",2.43323027947177,2.42353352929197,2.4301482114418,2.26605389810185,2.3375875595786,0,0,0,1,0
"4",2.38604886590828,2.36734597606486,2.38686355315473,2.17930403823013,2.22121729653807,0,0,0,1,0
"5",2.35673079759844,2.45714628615227,2.37839260112068,2.27451025083502,2.48153776603488,0,0,0,1,0
"6",2.52494010616825,2.53165129254966,2.53353053407566,2.28956602303008,2.39848320821731,0,0,0,1,0
"7",2.3754089315155,2.33551644223988,2.37719454662828,2.26623528019302,2.2871312654171,0,0,0,1,0
"8",2.71807281856802,2.67098242225703,2.71656655357309,2.85806805949608,2.90172429836095,0,1,0,0,0
"9",2.155345378783,2.1051508558689,2.16927405623135,2.36969188322066,2.43148608997528,0,1,0,0,0
"10",2.63910685707239,2.58598856630843,2.64913530723042,2.45390065216015,2.53433711599391,0,0,0,1,0
"11",2.43247736732072,2.3654486327041,2.4340828373441,2.23023620656616,2.26511643949037,0,0,0,1,0
"12",2.59597628767679,2.54012399752133,2.59876723538911,2.41471352440881,2.45931248267132,0,0,0,1,0
"13",2.60140202907152,2.54871530219216,2.59678873500528,2.35795555566133,2.37033115027341,0,0,0,1,0
"14",2.44769567324317,3.80494546852595,2.4462051432158,2.72569465394845,3.3930028726748,0,0,1,0,0
"15",2.68824390814969,3.59546533263691,2.70070503002904,2.45648300942512,2.45309167865107,0,0,0,0,1
"16",2.57647273347929,2.53596056896236,2.57976560081473,2.36539334064995,2.41517442519472,0,0,0,1,0
"17",2.41915858523587,2.42090152794766,2.42342452961999,2.24809171431008,2.38402563426074,0,0,0,1,0
"18",2.20676138543702,2.17606036660809,2.21123038244395,2.14800804251809,2.10868162400312,0,0,0,0,1
"19",2.58843365640412,2.54419764422694,2.62209566949858,2.4868561450387,2.44278595362463,0,0,0,0,1
"20",2.16712454794253,2.2411115254549,2.17898962312749,2.09419168697791,2.26881658242012,0,0,0,1,0
"21",2.64890216270198,2.57221181026689,2.64792668518913,2.39269199169575,2.41410103475757,0,0,0,1,0
"22",2.3100679319646,2.31192867569479,2.31628998527478,2.12164127169451,2.26429112518933,0,0,0,1,0
"23",2.49820651961539,2.38908865633296,2.4998479733684,2.18977563865448,2.17137083931711,0,0,0,0,1
"24",2.58520357229827,2.62413813210265,2.60519157420742,2.37243328202383,2.46930752963579,0,0,0,1,0
"25",2.51227474516285,2.58239586942891,2.51272111868687,2.32384873057601,2.53945020359599,0,0,0,1,0
"26",2.36162063464839,2.3154076852509,2.38926707899578,2.12399236036815,2.17858667407809,0,0,0,1,0
"27",2.26612163585462,2.2379211243723,2.27051981928408,2.07721454499243,2.08186818492272,0,0,0,1,0
"28",2.4314257247076,2.43990220784336,2.43782569546213,2.28654754441099,2.42132576783456,0,0,0,1,0
"29",2.41472139355427,2.3535772180063,2.42037959621821,2.18855625813066,2.20452966628872,0,0,0,1,0
"30",2.37484364090684,2.41431498510704,2.37620755941555,2.18805512413721,2.2696771802673,0,0,0,1,0
