"","BICC","BICH","BICI","BICLog","BICT","WBICC","WBICH","WBICI","CBICLog","WBICT"
"1",2530.19742098561,2537.18000087214,2542.62663718245,2512.34634717178,2518.89051793907,0,0,0,1,0
"2",2714.71016854208,2719.90275124864,2727.13938473892,2678.40890867027,2695.26244735044,0,0,0,1,0
"3",2447.39073236857,2451.2281651143,2459.81994856541,2433.04866148075,2436.8266225304,0,0,0,1,0
"4",2428.43378013564,2439.95283582976,2440.86299633248,2422.0332730248,2429.49268066955,0,0,0,1,0
"5",2595.22996909085,2593.84016598139,2607.6591852877,2559.31307370636,2567.87680521214,0,0,0,1,0
"6",2575.56195931575,2577.07627307842,2587.99117551259,2552.33251847598,2558.45874900903,0,0,0,1,0
"7",2535.08369906519,2540.18055390511,2547.51291526204,2515.34005963102,2530.26206032721,0,0,0,1,0
"8",2417.83989973754,2427.75228431678,2430.26911593438,2423.47530557072,2425.74202543894,1,0,0,0,0
"9",2357.53318733045,2365.62295624885,2369.9624035273,2339.13445395531,2350.279700431,0,0,0,1,0
"10",2392.64383750615,2399.46069110988,2405.073053703,2394.24638140994,2396.65533935266,1,0,0,0,0
"11",2832.14324055839,2834.01206196624,2844.57245675524,2803.88773675175,2811.62234488772,0,0,0,1,0
"12",2591.07284996337,2602.08408820317,2603.50206616022,2581.90054188316,2589.39115411042,0,0,0,1,0
"13",2646.27873966723,2656.95652038948,2658.70795586407,2641.66181916231,2647.24062680934,0,0,0,1,0
"14",2617.12242544045,2614.85038214175,2629.55164163729,2578.76253858621,2589.77074277913,0,0,0,1,0
"15",2599.85119220906,2608.4906677517,2612.2804084059,2583.39765690189,2590.71049492857,0,0,0,1,0
"16",2476.86734136335,2481.12558301612,2489.29655756019,2467.8108479101,2469.61565082076,0,0,0,1,0
"17",2468.6518953673,2474.21055531958,2481.08111156415,2463.13192984488,2467.06638914656,0,0,0,1,0
"18",2741.94942402911,2749.05752325826,2754.37864022596,2731.79368531443,2736.24590863084,0,0,0,1,0
"19",2450.82469322168,2454.72584353458,2463.25390941852,2446.84539077336,2445.77347112684,0,0,0,0,1
"20",2501.85691526206,2504.53781303022,2514.2861314589,2489.6134374184,2494.23212488835,0,0,0,1,0
"21",2691.96897844044,2698.64283447689,2704.39819463729,2676.45618274678,2687.97923963083,0,0,0,1,0
"22",2478.675514052,2489.07706712912,2491.10473024885,2471.41742963794,2477.50634667846,0,0,0,1,0
"23",2380.71678158192,2381.58602712604,2393.14599777876,2353.63927207206,2354.99335603517,0,0,0,1,0
"24",2664.26904327094,2669.41981544614,2676.69825946778,2643.90829117879,2651.80016301183,0,0,0,1,0
"25",2460.67165747327,2465.0024769456,2473.10087367011,2446.85588972137,2453.77363136782,0,0,0,1,0
"26",2639.06945501271,2648.69315685216,2651.49867120955,2633.95907085159,2639.65802960601,0,0,0,1,0
"27",2633.28381174257,2636.16015376482,2645.71302793941,2618.54039693124,2621.67594108088,0,0,0,1,0
"28",2406.31637689792,2417.10158176701,2418.74559309477,2415.33070046402,2416.33455142581,1,0,0,0,0
"29",2496.82765181436,2500.23582970865,2509.25686801121,2480.32567472151,2482.04053582709,0,0,0,1,0
"30",2503.08141946866,2514.48616147162,2515.5106356655,2497.26199305325,2505.12748724706,0,0,0,1,0
