"","AUCC","AUCH","AUCI","AUCLog","AUCT","WAUCC","WAUCH","WAUCI","WAUCLog","CAUCT"
"1",0.744084572330368,0.773367284303737,0.74327075694592,0.833104965613179,0.827242770776923,0,0,0,1,0
"2",0.730770997375328,0.761618790706717,0.733350223583163,0.83507691746865,0.827631112083211,0,0,0,1,0
"3",0.72740375937282,0.771253067357462,0.727290090301052,0.828528863650777,0.837922417199642,0,0,0,0,1
"4",0.739740379625444,0.735715498542385,0.741326177989186,0.828340974150363,0.823982479929403,0,0,0,1,0
"5",0.731842958831264,0.746061149312824,0.732652029884025,0.802025269205378,0.784008377602258,0,0,0,1,0
"6",0.75993765915391,0.780028892555901,0.759729411147847,0.837561114111993,0.821191633673456,0,0,0,1,0
"7",0.738265872094523,0.786163234387056,0.738290731789687,0.831970037031565,0.83250616215557,0,0,0,0,1
"8",0.733055276345308,0.781590856532063,0.734016503146578,0.820004306514582,0.8262118786965,0,0,0,0,1
"9",0.751196435728821,0.784351008398064,0.751131734596908,0.847736471338231,0.840466395254933,0,0,0,1,0
"10",0.746601532807833,0.793832184176348,0.74540574119628,0.84350367191568,0.841229548098006,0,0,0,1,0
"11",0.746453322742767,0.758527493717782,0.746205640140904,0.819902957766795,0.804226119980869,0,0,0,1,0
"12",0.739912354152238,0.776332309607881,0.742338971392456,0.822843458943121,0.828880316843974,0,0,0,0,1
"13",0.751826455765923,0.785997253340516,0.750475933973412,0.819285092093163,0.813019942397795,0,0,0,1,0
"14",0.761128960144446,0.806330736124752,0.761318202189847,0.845510406704207,0.846000130807533,0,0,0,0,1
"15",0.74245702992048,0.723532282674278,0.742823977381726,0.826734805764411,0.805572476716482,0,0,0,1,0
"16",0.735456653747682,0.767766419634573,0.735540661476393,0.837723566435881,0.827212186165756,0,0,0,1,0
"17",0.747902005075391,0.737594632864975,0.747960972485282,0.821908987340876,0.776290488661615,0,0,0,1,0
"18",0.740970529433147,0.723699960264004,0.741702437972644,0.81379877014419,0.771671709396227,0,0,0,1,0
"19",0.737631496325993,0.745753562374849,0.73777491362528,0.813279521967496,0.78676855113381,0,0,0,1,0
"20",0.751102066692025,0.769707366552555,0.751057689869405,0.839881704069988,0.824855458349182,0,0,0,1,0
"21",0.747108452475461,0.746591432136556,0.749283410788556,0.829262470731121,0.806504771310214,0,0,0,1,0
"22",0.728696332674019,0.73800467567625,0.729309341613568,0.809395746212322,0.801180190517246,0,0,0,1,0
"23",0.744351225756185,0.768672839506173,0.746052814647856,0.832041837103821,0.80808857630483,0,0,0,1,0
"24",0.733785535948171,0.783968551197493,0.734825107392335,0.834828859302398,0.827181540797393,0,0,0,1,0
"25",0.748712883141762,0.730221686235333,0.747375020578903,0.842285039324413,0.794828451456238,0,0,0,1,0
"26",0.728958740870293,0.729719170058877,0.728646462427291,0.820176665173231,0.784645038706217,0,0,0,1,0
"27",0.743947919309007,0.787392352650283,0.743352960318131,0.832758103818037,0.84398725014669,0,0,0,0,1
"28",0.738452040604931,0.777399508715854,0.737937790405161,0.825960282932316,0.831164106661932,0,0,0,0,1
"29",0.746043162904697,0.773217576759386,0.74733681505548,0.826444344695242,0.820521854575164,0,0,0,1,0
"30",0.753132108226739,0.776387126087225,0.754153562354185,0.851231681691243,0.838614676478882,0,0,0,1,0
