"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70"
"AICPropWC",0.7,0.7,0.633333333333333,0.633333333333333,0.766666666666667,0.533333333333333,0.566666666666667,0.533333333333333,0.8,0.666666666666667,0.533333333333333,0.566666666666667,0.533333333333333,0.333333333333333,0.633333333333333,0.6,0.533333333333333,0.5,0.6,0.6,0.466666666666667,0.466666666666667,0.466666666666667,0.366666666666667,0.4,0.366666666666667,0.5,0.466666666666667,0.433333333333333,0.366666666666667,0.366666666666667,0.5,0.233333333333333,0.233333333333333,0.333333333333333,0.433333333333333,0.2,0.266666666666667,0.166666666666667,0.233333333333333,0.2,0.3,0.166666666666667,0.133333333333333,0.133333333333333,0.133333333333333,0.233333333333333,0.0666666666666667,0.0666666666666667,0.2,0.2,0.133333333333333,0.166666666666667,0.1,0.133333333333333,0.133333333333333,0.1,0.1,0.133333333333333,0.0666666666666667,0.0333333333333333,0.0666666666666667,0.0333333333333333,0.1,0,0.0333333333333333,0.166666666666667,0.0333333333333333,0,0
"AICPropWH",0.0333333333333333,0.1,0.133333333333333,0.0666666666666667,0.1,0.166666666666667,0.1,0.1,0,0.1,0.166666666666667,0.166666666666667,0.166666666666667,0.1,0.0666666666666667,0.1,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0666666666666667,0.0666666666666667,0.0333333333333333,0.1,0.2,0,0.1,0.166666666666667,0.0333333333333333,0.1,0.0666666666666667,0.0666666666666667,0.0666666666666667,0,0.133333333333333,0.1,0.0333333333333333,0.0333333333333333,0.133333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0,0.0666666666666667,0.1,0.0333333333333333,0.0333333333333333,0,0.0333333333333333,0.1,0,0,0.0333333333333333,0.0333333333333333,0.0333333333333333,0,0.0333333333333333,0,0.0333333333333333,0.0333333333333333,0,0.0333333333333333,0.0666666666666667,0,0,0.0333333333333333,0.0666666666666667,0,0
"AICPropCI",0.0666666666666667,0.1,0.133333333333333,0.233333333333333,0.1,0.133333333333333,0.166666666666667,0.2,0.166666666666667,0.133333333333333,0.166666666666667,0.166666666666667,0.1,0.3,0.133333333333333,0.233333333333333,0.4,0.466666666666667,0.266666666666667,0.333333333333333,0.366666666666667,0.366666666666667,0.333333333333333,0.3,0.466666666666667,0.433333333333333,0.233333333333333,0.5,0.366666666666667,0.466666666666667,0.466666666666667,0.366666666666667,0.666666666666667,0.566666666666667,0.466666666666667,0.466666666666667,0.666666666666667,0.566666666666667,0.766666666666667,0.7,0.666666666666667,0.666666666666667,0.7,0.833333333333333,0.7,0.7,0.733333333333333,0.9,0.9,0.766666666666667,0.666666666666667,0.8,0.766666666666667,0.866666666666667,0.766666666666667,0.833333333333333,0.866666666666667,0.866666666666667,0.866666666666667,0.9,0.9,0.933333333333333,0.866666666666667,0.8,1,0.966666666666667,0.8,0.9,1,1
"AICPropWL",0.2,0.1,0.1,0.0666666666666667,0.0333333333333333,0.166666666666667,0.166666666666667,0.166666666666667,0.0333333333333333,0.1,0.133333333333333,0.1,0.2,0.266666666666667,0.166666666666667,0.0666666666666667,0.0333333333333333,0,0.1,0,0.1,0.133333333333333,0.1,0.133333333333333,0.133333333333333,0.1,0.1,0,0.1,0.1,0.1,0.0666666666666667,0.1,0.0666666666666667,0.1,0.0666666666666667,0.1,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.1,0,0.1,0.0333333333333333,0.1,0.0666666666666667,0,0,0.0333333333333333,0,0.0333333333333333,0.0666666666666667,0.0666666666666667,0,0.0666666666666667,0,0.0333333333333333,0,0,0,0.0333333333333333,0,0.0666666666666667,0.0333333333333333,0,0,0,0,0,0
"BICPropWC",1,1,0.933333333333333,1,0.966666666666667,1,1,0.966666666666667,1,0.966666666666667,0.966666666666667,1,0.933333333333333,0.933333333333333,1,0.966666666666667,1,0.933333333333333,0.966666666666667,1,0.966666666666667,0.966666666666667,1,0.966666666666667,0.933333333333333,0.966666666666667,1,0.933333333333333,0.966666666666667,1,1,1,0.9,0.9,0.933333333333333,0.933333333333333,0.866666666666667,0.9,0.866666666666667,0.833333333333333,0.866666666666667,0.833333333333333,0.866666666666667,0.633333333333333,0.833333333333333,0.766666666666667,0.733333333333333,0.666666666666667,0.833333333333333,0.833333333333333,0.8,0.733333333333333,0.7,0.733333333333333,0.7,0.633333333333333,0.666666666666667,0.566666666666667,0.5,0.533333333333333,0.6,0.4,0.566666666666667,0.533333333333333,0.466666666666667,0.4,0.6,0.4,0.333333333333333,0.333333333333333
"BICPropWH",0,0,0,0,0.0333333333333333,0,0,0,0,0.0333333333333333,0,0,0.0333333333333333,0.0333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BICPropCI",0,0,0.0333333333333333,0,0,0,0,0,0,0,0.0333333333333333,0,0.0333333333333333,0,0,0,0,0.0666666666666667,0,0,0,0.0333333333333333,0,0.0333333333333333,0.0666666666666667,0.0333333333333333,0,0.0666666666666667,0.0333333333333333,0,0,0,0.1,0.1,0.0666666666666667,0.0666666666666667,0.133333333333333,0.1,0.133333333333333,0.166666666666667,0.133333333333333,0.166666666666667,0.133333333333333,0.366666666666667,0.166666666666667,0.233333333333333,0.266666666666667,0.333333333333333,0.166666666666667,0.166666666666667,0.2,0.266666666666667,0.266666666666667,0.266666666666667,0.3,0.366666666666667,0.3,0.433333333333333,0.5,0.466666666666667,0.4,0.6,0.433333333333333,0.466666666666667,0.533333333333333,0.6,0.4,0.6,0.666666666666667,0.666666666666667
"BICPropWL",0,0,0.0333333333333333,0,0,0,0,0.0333333333333333,0,0,0,0,0,0.0333333333333333,0,0.0333333333333333,0,0,0.0333333333333333,0,0.0333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0333333333333333,0,0,0,0.0333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0
