"","cvC","cvH","cvI","cvLog","cvT","WcvC","WcvH","WcvI","CcvLog","WcvT"
"1",1.43343212480295,1.39334742763327,1.43970618180638,1.39006724703234,1.33186806737655,0,0,0,0,1
"2",1.35267671812824,1.27886119166709,1.35436540847079,1.31726898242599,1.19492557839831,0,0,0,0,1
"3",1.40723516062725,1.36565764849608,1.4371848115555,1.32952928791154,1.27007370988959,0,0,0,0,1
"4",1.33876573058872,1.31249273794583,1.33786619026359,1.28663727569291,1.24753676407022,0,0,0,0,1
"5",1.37255173332071,1.35925002642395,1.40009433734547,1.46366474168044,1.40009290558292,0,1,0,0,0
"6",1.4122366566318,1.36170076976115,1.41454963223482,1.40099805728669,1.32416073319312,0,0,0,0,1
"7",1.35298266297016,1.35864582209605,1.35372958132195,1.33594387936321,1.2711199515599,0,0,0,0,1
"8",1.56845375083372,1.53372815291188,1.58164803988401,1.45501763470868,1.45666396539462,0,0,0,1,0
"9",1.44535440340489,1.38787622849282,1.47692528644974,1.39810733842792,1.30899477823129,0,0,0,0,1
"10",1.38972914127701,1.34910533421707,1.40433487785369,1.29469446133254,1.27385260579767,0,0,0,0,1
"11",1.32842107313374,1.27114170599767,1.33043368841992,1.33142129389025,1.24397181213139,0,0,0,0,1
"12",1.52366643850143,1.48105039159488,1.53166879382514,1.37983248635254,1.3341447470159,0,0,0,0,1
"13",1.52409677132466,1.48756195086261,1.56325131232943,1.43454796493316,1.39728631586319,0,0,0,0,1
"14",1.32327456528201,1.29292193002469,1.32188545727681,1.42578523260745,1.31113198604772,0,1,0,0,0
"15",1.43857912660259,1.40451069872963,1.43754945055834,1.36751537027932,1.31414784479901,0,0,0,0,1
"16",1.36109929149541,1.32895453422851,1.36800916019419,1.33381012234317,1.29120906034158,0,0,0,0,1
"17",1.57760356993946,1.53016550380686,1.5769446131442,1.46357102696474,1.43032293031454,0,0,0,0,1
"18",1.54076728275822,1.47859452235812,1.5418963914627,1.38044666991245,1.35555532455893,0,0,0,0,1
"19",1.53364424737434,1.46481958680367,1.54225181930125,1.3828774310612,1.33869904698547,0,0,0,0,1
"20",1.47480152806822,1.39709501181494,1.47738176410015,1.38177900703947,1.3273639925612,0,0,0,0,1
"21",1.40146817236979,1.3544360843041,1.42581041790832,1.34120891713177,1.27693919955337,0,0,0,0,1
"22",1.50193571590465,1.47187132302028,1.50766303548721,1.43679414726033,1.39660232915079,0,0,0,0,1
"23",1.5245247631904,1.5015688663563,1.52215199358817,1.52497945346143,1.47099995152405,0,0,0,0,1
"24",1.38451297143485,1.32378961463065,1.39919346468858,1.32555292849692,1.24022830405316,0,0,0,0,1
"25",1.59683314139972,1.57432398261372,1.5972010515467,1.53239084164014,1.48179000377754,0,0,0,0,1
"26",1.34243099651022,1.31185391847983,1.34275773618001,1.28281913806037,1.2491172867493,0,0,0,0,1
"27",1.36890157132235,1.36267503103606,1.37555600657407,1.34077670030747,1.31086600596874,0,0,0,0,1
"28",1.53100816180194,1.49756686970409,1.53215129893433,1.44404786129518,1.44467791329167,0,0,0,1,0
"29",1.42751405586728,1.37551453477263,1.42537158251612,1.37088216772902,1.32439046667673,0,0,0,0,1
"30",1.35744041690816,1.3287389698573,1.3582650507332,1.27623314349654,1.23229076440155,0,0,0,0,1
