"","AICC","AICH","AICI","AICLog","AICT","WAICC","WAICH","WAICI","WAICLog","CAICT"
"1",5454.37558671938,5456.97444717259,5457.20531372908,5428.4508846045,5447.71393110473,0,0,0,1,0
"2",5033.08876249693,5036.15703118176,5031.87934171791,5006.78586447943,5023.99286497071,0,0,0,1,0
"3",5115.99644670034,5113.4407688942,5118.83322593736,5078.07716449323,5089.18711013978,0,0,0,1,0
"4",5010.47050116418,5014.46996879481,5012.0860591817,4985.99823068699,5008.03468088352,0,0,0,1,0
"5",5426.31446517774,5429.17625111115,5430.14701469931,5423.52809457471,5427.89826852223,0,0,0,1,0
"6",4838.8319479264,4839.92057209901,4831.72311841596,4830.17335737068,4837.07412288227,0,0,0,1,0
"7",5216.69793689172,5207.76998217183,5220.64942333038,5180.64667899887,5184.46999569293,0,0,0,1,0
"8",5368.97007934715,5365.92475739851,5372.0053492288,5326.74991038933,5335.76834753845,0,0,0,1,0
"9",5149.41779477181,5151.4340549804,5153.37784770931,5117.95359339116,5140.91233204503,0,0,0,1,0
"10",4856.17166581796,4856.97733479095,4855.17074835396,4847.80566067575,4853.33697190792,0,0,0,1,0
"11",5278.24477667302,5281.90537638613,5280.72406598052,5265.69031378682,5277.96100019246,0,0,0,1,0
"12",5194.15314444151,5190.92493865301,5195.32526864195,5170.13579826352,5177.49708699563,0,0,0,1,0
"13",4892.98978505335,4893.14342420573,4894.74458312405,4888.21727276895,4891.12381297818,0,0,0,1,0
"14",4704.79006836731,4699.2852971836,4708.56052764063,4667.15455368027,4670.58567772048,0,0,0,1,0
"15",4949.62073249951,4953.24294758697,4951.95691569908,4942.09337452197,4951.70761657626,0,0,0,1,0
"16",5283.11197619868,5285.7549875327,5286.46269718348,5235.65366765404,5270.36000338606,0,0,0,1,0
"17",4797.89500255652,4799.30534502911,4801.49890077911,4795.96736034283,4800.72822803266,0,0,0,1,0
"18",5096.71593034883,5100.24853105875,5099.73812727184,5089.26498548042,5099.45960611579,0,0,0,1,0
"19",5170.54399412976,5170.06308608684,5173.41105531489,5166.36002523414,5172.99324511897,0,0,0,1,0
"20",4924.82737860129,4927.77342641896,4928.74824896872,4904.61116756341,4921.60901566118,0,0,0,1,0
"21",5178.21289595685,5182.08210896352,5176.80665665085,5168.19580216576,5178.55454045751,0,0,0,1,0
"22",4880.10160324439,4883.98460084647,4880.67535457292,4872.54367961811,4880.44973185555,0,0,0,1,0
"23",5387.15631734555,5390.33583175064,5388.29253309413,5370.25835984258,5384.93378801489,0,0,0,1,0
"24",4954.35651398788,4953.82293374734,4958.1911987561,4925.31302217645,4943.81777633197,0,0,0,1,0
"25",5031.73554784825,5035.32481922276,5034.66969964463,5018.49322956846,5034.49116218668,0,0,0,1,0
"26",5190.70195097778,5194.47264759961,5193.68477136435,5184.01598710663,5191.95989912993,0,0,0,1,0
"27",4824.86319854292,4815.81597413808,4828.03327658781,4799.42988700526,4801.27444425329,0,0,0,1,0
"28",5167.51756648713,5163.24748107673,5171.43406425895,5145.33421782203,5149.74061996214,0,0,0,1,0
"29",5005.34952164312,5006.64419058096,5007.96201067611,4974.49489786982,4996.32050076354,0,0,0,1,0
"30",5126.50865133747,5129.92454440476,5129.01619669997,5100.7693137186,5123.16813282365,0,0,0,1,0
